ConnectionId;Transmitter;Receiver;Simtime;Type;Value1;Value2;Value3;Value4;Value5;Value6
1;0;0;0;Data;0;0;0;0;0;0
1;0;0;5;Data;2048;0;0;0;0;0
1;0;0;10;Data;3072;0;0;0;0;0
1;0;0;15;Data;5120;0;0;0;0;0
1;0;0;20;Data;6144;0;0;0;0;0
1;0;0;25;Data;8192;0;0;0;0;0
1;0;0;30;Data;9216;0;0;0;0;0
1;0;0;35;Data;11264;0;0;0;0;0
1;0;0;40;Data;12288;0;0;0;0;0
1;0;0;45;Data;14336;0;0;0;0;0
1;0;0;50;Data;15360;0;0;0;0;0
1;0;0;55;Data;17408;0;0;0;0;0
1;0;0;60;Data;18432;0;0;0;0;0
1;0;0;65;Data;20480;0;0;0;0;0
1;0;0;70;Data;21504;0;0;0;0;0
1;0;0;75;Data;23552;0;0;0;0;0
1;0;0;80;Data;24576;0;0;0;0;0
1;0;0;85;Data;26624;0;0;0;0;0
1;0;0;90;Data;27648;0;0;0;0;0
1;0;0;95;Data;29696;0;0;0;0;0
1;0;0;100;Data;31744;0;0;0;0;0
1;0;0;105;Data;32768;0;0;0;0;0
1;0;0;110;Data;34816;0;0;0;0;0
1;0;0;115;Data;35840;0;0;0;0;0
1;0;0;120;Data;37888;0;0;0;0;0
1;0;0;125;Data;38912;0;0;0;0;0
1;0;0;130;Data;40960;0;0;0;0;0
1;0;0;135;Data;41984;0;0;0;0;0
1;0;0;140;Data;44032;0;0;0;0;0
1;0;0;145;Data;45056;0;0;0;0;0
1;0;0;150;Data;47104;0;0;0;0;0
1;0;0;155;Data;48128;0;0;0;0;0
1;0;0;160;Data;50176;0;0;0;0;0
1;0;0;165;Data;51200;0;0;0;0;0
1;0;0;170;Data;53248;0;0;0;0;0
1;0;0;175;Data;54272;0;0;0;0;0
1;0;0;180;Data;56320;0;0;0;0;0
1;0;0;185;Data;57344;0;0;0;0;0
1;0;0;190;Data;59392;0;0;0;0;0
1;0;0;195;Data;61440;0;0;0;0;0
1;0;0;200;Data;62464;0;0;0;0;0
1;0;0;205;Data;64512;0;0;0;0;0
1;0;0;210;Data;65536;0;0;0;0;0
1;0;0;215;Data;67584;0;0;0;0;0
1;0;0;220;Data;68608;0;0;0;0;0
1;0;0;225;Data;70656;0;0;0;0;0
1;0;0;230;Data;71680;0;0;0;0;0
1;0;0;235;Data;73728;0;0;0;0;0
1;0;0;240;Data;74752;0;0;0;0;0
1;0;0;245;Data;76800;0;0;0;0;0
1;0;0;250;Data;77824;0;0;0;0;0
1;0;0;255;Data;79872;0;0;0;0;0
1;0;0;260;Data;80896;0;0;0;0;0
1;0;0;265;Data;82944;0;0;0;0;0
1;0;0;270;Data;83968;0;0;0;0;0
1;0;0;275;Data;86016;0;0;0;0;0
