ConnectionId;Transmitter;Receiver;Simtime;Type;Value1;Value2;Value3;Value4;Value5;Value6
1;0;0;0;Data;0;0;0;0;0;0
1;0;0;5;Data;2048;0;0;0;0;0
1;0;0;10;Data;5120;0;0;0;0;0
1;0;0;15;Data;8192;0;0;0;0;0
1;0;0;20;Data;11264;0;0;0;0;0
1;0;0;25;Data;14336;0;0;0;0;0
1;0;0;30;Data;17408;0;0;0;0;0
1;0;0;35;Data;20480;0;0;0;0;0
1;0;0;40;Data;23552;0;0;0;0;0
1;0;0;45;Data;26624;0;0;0;0;0
1;0;0;50;Data;29696;0;0;0;0;0
1;0;0;55;Data;32768;0;0;0;0;0
1;0;0;60;Data;35840;0;0;0;0;0
1;0;0;65;Data;38912;0;0;0;0;0
1;0;0;70;Data;41984;0;0;0;0;0
1;0;0;75;Data;45056;0;0;0;0;0
1;0;0;80;Data;48128;0;0;0;0;0
1;0;0;85;Data;52224;0;0;0;0;0
1;0;0;90;Data;55296;0;0;0;0;0
1;0;0;95;Data;58368;0;0;0;0;0
1;0;0;100;Data;61440;0;0;0;0;0
1;0;0;105;Data;64512;0;0;0;0;0
1;0;0;110;Data;67584;0;0;0;0;0
1;0;0;115;Data;70656;0;0;0;0;0
1;0;0;120;Data;73728;0;0;0;0;0
1;0;0;125;Data;76800;0;0;0;0;0
1;0;0;130;Data;79872;0;0;0;0;0
1;0;0;135;Data;82944;0;0;0;0;0
1;0;0;140;Data;86016;0;0;0;0;0
1;0;0;145;Data;89088;0;0;0;0;0
1;0;0;150;Data;92160;0;0;0;0;0
1;0;0;155;Data;95232;0;0;0;0;0
1;0;0;160;Data;98304;0;0;0;0;0
1;0;0;165;Data;101376;0;0;0;0;0
1;0;0;170;Data;104448;0;0;0;0;0
1;0;0;175;Data;107520;0;0;0;0;0
1;0;0;180;Data;110592;0;0;0;0;0
1;0;0;185;Data;114688;0;0;0;0;0
1;0;0;190;Data;117760;0;0;0;0;0
1;0;0;195;Data;120832;0;0;0;0;0
1;0;0;200;Data;123904;0;0;0;0;0
1;0;0;205;Data;126976;0;0;0;0;0
1;0;0;210;Data;130048;0;0;0;0;0
1;0;0;215;Data;133120;0;0;0;0;0
1;0;0;220;Data;136192;0;0;0;0;0
1;0;0;225;Data;139264;0;0;0;0;0
1;0;0;230;Data;142336;0;0;0;0;0
1;0;0;235;Data;145408;0;0;0;0;0
1;0;0;240;Data;148480;0;0;0;0;0
1;0;0;245;Data;151552;0;0;0;0;0
1;0;0;250;Data;154624;0;0;0;0;0
1;0;0;255;Data;157696;0;0;0;0;0
1;0;0;260;Data;160768;0;0;0;0;0
1;0;0;265;Data;163840;0;0;0;0;0
1;0;0;270;Data;166912;0;0;0;0;0
1;0;0;275;Data;169984;0;0;0;0;0
