ConnectionId;Transmitter;Receiver;Simtime;Type;Value1;Value2;Value3;Value4;Value5;Value6
64;10;14;102.965;PositionBER;1.5;0.055;0;0.305161;0.305161;-40.319
65;10;14;102.991;PositionBER;1.5;0.055;0;0.305161;0.305161;-inf
66;10;14;104.629;PositionBER;1.5;0.055;0;0.305161;0.305161;-40.319
67;10;14;106.268;PositionBER;1.5;0.055;0;0.305161;0.305161;-40.319
68;10;14;107.906;PositionBER;1.5;0.055;0;0.305161;0.305161;-40.319
69;10;14;109.545;PositionBER;1.5;0.055;0;0.305161;0.305161;-40.319
70;10;14;111.183;PositionBER;1.5;0.06;0;0.303644;0.303644;-40.3394
71;10;14;112.821;PositionBER;1.5;0.06;0;0.303644;0.303644;-40.3472
72;10;14;114.46;PositionBER;1.5;0.06;0;0.303644;0.303644;-40.3472
73;10;14;116.098;PositionBER;1.5;0.06;0;0.303644;0.303644;-40.3472
74;10;14;117.737;PositionBER;1.5;0.06;0;0.303644;0.303644;-40.3472
75;10;14;119.375;PositionBER;1.5;0.06;0;0.303644;0.303644;-40.3472
76;10;14;121.013;PositionBER;1.5;0.065;0;0.302125;0.302125;-40.3646
77;10;14;122.652;PositionBER;1.5;0.065;0;0.302125;0.302125;-40.3753
78;10;14;124.29;PositionBER;1.5;0.065;0;0.302125;0.302125;-40.3753
79;10;14;125.929;PositionBER;1.5;0.065;0;0.302125;0.302125;-40.3753
80;10;14;127.567;PositionBER;1.5;0.065;0;0.302125;0.302125;-40.3753
81;10;14;129.205;PositionBER;1.5;0.065;0;0.302125;0.302125;-40.3753
82;10;14;130.844;PositionBER;1.5;0.07;0;0.300606;0.300606;-40.3897
83;10;14;132.482;PositionBER;1.5;0.07;0;0.300606;0.300606;-40.4032
84;10;14;134.121;PositionBER;1.5;0.07;0;0.300606;0.300606;-40.4032
85;10;14;135.759;PositionBER;1.5;0.07;0;0.300606;0.300606;-40.4032
86;10;14;137.397;PositionBER;1.5;0.07;0;0.300606;0.300606;-40.4032
87;10;14;139.036;PositionBER;1.5;0.07;0;0.300606;0.300606;-40.4032
