0,9,6,35.0016,IncidenceBER,0.610726,-76.9952,0
1,9,6,45.0016,IncidenceBER,0.588003,-77.4233,0
2,9,6,55.0016,IncidenceBER,0.564569,-77.8432,0
3,9,6,65.0016,IncidenceBER,0.54042,-78.2538,0
4,9,6,75.0016,IncidenceBER,0.515549,-78.6538,0
5,9,6,85.0016,IncidenceBER,0.489957,-79.0418,0
6,9,6,95.0016,IncidenceBER,0.463648,-79.4166,0
7,9,6,105.002,IncidenceBER,0.436627,-79.7766,0
8,9,6,115.002,IncidenceBER,0.408908,-80.1204,0
9,9,6,125.002,IncidenceBER,0.380506,-80.4466,0
10,9,6,135.002,IncidenceBER,0.351445,-80.7536,0
11,9,6,145.002,IncidenceBER,0.321751,-81.0401,0
12,9,6,155.002,IncidenceBER,0.291457,-81.3045,0
13,9,6,165.002,IncidenceBER,0.260602,-81.5454,0
14,9,6,175.002,IncidenceBER,0.229232,-81.7615,0
15,9,6,185.002,IncidenceBER,0.197396,-81.9516,0
16,9,6,195.002,IncidenceBER,0.165149,-82.1145,0
17,9,6,205.002,IncidenceBER,0.132552,-82.2493,0
18,9,6,215.002,IncidenceBER,0.0996687,-82.355,0
19,9,6,225.002,IncidenceBER,0.0665682,-82.431,0
20,9,6,235.002,IncidenceBER,0.033321,-82.4768,0
21,9,6,245.002,IncidenceBER,0,-82.4921,0
22,9,6,255.002,IncidenceBER,0.033321,-82.4768,0
23,9,6,265.002,IncidenceBER,0.0665682,-82.431,0
24,9,6,275.002,IncidenceBER,0.0996687,-82.355,0
25,9,6,285.002,IncidenceBER,0.132552,-82.2493,0
26,9,6,295.002,IncidenceBER,0.165149,-82.1145,0
27,9,6,305.002,IncidenceBER,0.197396,-81.9516,0
28,9,6,315.002,IncidenceBER,0.229232,-81.7615,0
29,9,6,325.002,IncidenceBER,0.260602,-81.5454,0
30,9,6,335.002,IncidenceBER,0.291457,-81.3045,0
31,9,6,345.002,IncidenceBER,0.321751,-81.0401,0
32,9,6,355.002,IncidenceBER,0.351445,-80.7536,0
33,9,6,365.002,IncidenceBER,0.380506,-80.4466,0
34,9,6,375.002,IncidenceBER,0.408908,-80.1204,0
35,9,6,385.002,IncidenceBER,0.436627,-79.7766,0
36,9,6,395.002,IncidenceBER,0.463648,-79.4166,0
37,9,6,405.002,IncidenceBER,0.489957,-79.0418,0
38,9,6,415.002,IncidenceBER,0.515549,-78.6538,0
39,9,6,425.002,IncidenceBER,0.54042,-78.2538,0
40,9,6,435.002,IncidenceBER,0.564569,-77.8432,0
41,9,6,445.002,IncidenceBER,0.588003,-77.4233,0
42,9,6,455.002,IncidenceBER,0.610726,-76.9952,0


0,9,6,30,IncidenceSINRdB,0.610726,86.7208,0
0,9,6,35.0016,IncidenceSINRdB,0.610726,86.7208,0
1,9,6,40,IncidenceSINRdB,0.588003,87.2123,0
1,9,6,45.0016,IncidenceSINRdB,0.588003,87.2123,0
2,9,6,50,IncidenceSINRdB,0.564569,87.6944,0
2,9,6,55.0016,IncidenceSINRdB,0.564569,87.6944,0
3,9,6,60,IncidenceSINRdB,0.54042,88.1658,0
3,9,6,65.0016,IncidenceSINRdB,0.54042,88.1658,0
4,9,6,70,IncidenceSINRdB,0.515549,88.625,0
4,9,6,75.0016,IncidenceSINRdB,0.515549,88.625,0
5,9,6,80,IncidenceSINRdB,0.489957,89.0705,0
5,9,6,85.0016,IncidenceSINRdB,0.489957,89.0705,0
6,9,6,90,IncidenceSINRdB,0.463648,89.5007,0
6,9,6,95.0016,IncidenceSINRdB,0.463648,89.5007,0
7,9,6,100,IncidenceSINRdB,0.436627,89.914,0
7,9,6,105.002,IncidenceSINRdB,0.436627,89.914,0
8,9,6,110,IncidenceSINRdB,0.408908,90.3088,0
8,9,6,115.002,IncidenceSINRdB,0.408908,90.3088,0
9,9,6,120,IncidenceSINRdB,0.380506,90.6833,0
9,9,6,125.002,IncidenceSINRdB,0.380506,90.6833,0
10,9,6,130,IncidenceSINRdB,0.351445,91.0358,0
10,9,6,135.002,IncidenceSINRdB,0.351445,91.0358,0
11,9,6,140,IncidenceSINRdB,0.321751,91.3647,0
11,9,6,145.002,IncidenceSINRdB,0.321751,91.3647,0
12,9,6,150,IncidenceSINRdB,0.291457,91.6683,0
12,9,6,155.002,IncidenceSINRdB,0.291457,91.6683,0
13,9,6,160,IncidenceSINRdB,0.260602,91.9449,0
