ConnectionId;Transmitter;Receiver;Simtime;Type;Value1;Value2;Value3;Value4;Value5;Value6
27;9;11;575.078;PositionSINRdB;1.5;0.29;0;0.518069;0.518069;38.3319
27;9;11;576.717;PositionSINRdB;1.5;0.29;0;0.518069;0.518069;38.3319
28;9;11;576.717;PositionSINRdB;1.5;0.29;0;0.518069;0.518069;38.3319
28;9;11;578.355;PositionSINRdB;1.5;0.29;0;0.518069;0.518069;38.3319
29;9;11;578.355;PositionSINRdB;1.5;0.29;0;0.518069;0.518069;38.3319
29;9;11;579.994;PositionSINRdB;1.5;0.29;0;0.518069;0.518069;38.3319
30;9;11;579.994;PositionSINRdB;1.5;0.29;0;0.518069;0.518069;38.3319
30;9;11;580;PositionSINRdB;1.5;0.29;0;0.518069;0.518069;38.3319
30;9;11;580;PositionSINRdB;1.5;0.295;0;0.51681;0.51681;38.3804
30;9;11;581.632;PositionSINRdB;1.5;0.295;0;0.51681;0.51681;38.3804
31;9;11;581.632;PositionSINRdB;1.5;0.295;0;0.51681;0.51681;38.3804
31;9;11;583.27;PositionSINRdB;1.5;0.295;0;0.51681;0.51681;38.3804
32;9;11;583.27;PositionSINRdB;1.5;0.295;0;0.51681;0.51681;38.3804
32;9;11;584.909;PositionSINRdB;1.5;0.295;0;0.51681;0.51681;38.3804
33;9;11;584.909;PositionSINRdB;1.5;0.295;0;0.51681;0.51681;38.3804
33;9;11;586.547;PositionSINRdB;1.5;0.295;0;0.51681;0.51681;38.3804
34;9;11;586.547;PositionSINRdB;1.5;0.295;0;0.51681;0.51681;38.3804
34;9;11;588.186;PositionSINRdB;1.5;0.295;0;0.51681;0.51681;38.3804
35;9;11;588.186;PositionSINRdB;1.5;0.295;0;0.51681;0.51681;38.3804
35;9;11;589.824;PositionSINRdB;1.5;0.295;0;0.51681;0.51681;38.3804
36;9;11;589.824;PositionSINRdB;1.5;0.295;0;0.51681;0.51681;38.3804
36;9;11;590;PositionSINRdB;1.5;0.295;0;0.51681;0.51681;38.3804
36;9;11;590;PositionSINRdB;1.5;0.3;0;0.515549;0.515549;38.429
36;9;11;591.462;PositionSINRdB;1.5;0.3;0;0.515549;0.515549;38.429
37;9;11;591.462;PositionSINRdB;1.5;0.3;0;0.515549;0.515549;38.429
37;9;11;593.101;PositionSINRdB;1.5;0.3;0;0.515549;0.515549;38.429
38;9;11;593.101;PositionSINRdB;1.5;0.3;0;0.515549;0.515549;38.429
38;9;11;594.739;PositionSINRdB;1.5;0.3;0;0.515549;0.515549;38.429
39;9;11;594.739;PositionSINRdB;1.5;0.3;0;0.515549;0.515549;38.429
39;9;11;596.378;PositionSINRdB;1.5;0.3;0;0.515549;0.515549;38.429
40;9;11;596.378;PositionSINRdB;1.5;0.3;0;0.515549;0.515549;38.429
40;9;11;598.016;PositionSINRdB;1.5;0.3;0;0.515549;0.515549;38.429
41;9;11;598.016;PositionSINRdB;1.5;0.3;0;0.515549;0.515549;38.429
41;9;11;599.654;PositionSINRdB;1.5;0.3;0;0.515549;0.515549;38.429
42;9;11;599.654;PositionSINRdB;1.5;0.3;0;0.515549;0.515549;38.429
42;9;11;600;PositionSINRdB;1.5;0.3;0;0.515549;0.515549;38.429
42;9;11;600;PositionSINRdB;1.5;0.305;0;0.514287;0.514287;38.4774
42;9;11;601.293;PositionSINRdB;1.5;0.305;0;0.514287;0.514287;38.4774
43;9;11;601.293;PositionSINRdB;1.5;0.305;0;0.514287;0.514287;38.4774
43;9;11;602.931;PositionSINRdB;1.5;0.305;0;0.514287;0.514287;38.4774
44;9;11;602.931;PositionSINRdB;1.5;0.305;0;0.514287;0.514287;38.4774
44;9;11;604.57;PositionSINRdB;1.5;0.305;0;0.514287;0.514287;38.4774
45;9;11;604.57;PositionSINRdB;1.5;0.305;0;0.514287;0.514287;38.4774
45;9;11;606.208;PositionSINRdB;1.5;0.305;0;0.514287;0.514287;38.4774
46;9;11;606.208;PositionSINRdB;1.5;0.305;0;0.514287;0.514287;38.4774
46;9;11;607.846;PositionSINRdB;1.5;0.305;0;0.514287;0.514287;38.4774
47;9;11;607.846;PositionSINRdB;1.5;0.305;0;0.514287;0.514287;38.4774
47;9;11;609.485;PositionSINRdB;1.5;0.305;0;0.514287;0.514287;38.4774
48;9;11;609.485;PositionSINRdB;1.5;0.305;0;0.514287;0.514287;38.4774
48;9;11;610;PositionSINRdB;1.5;0.305;0;0.514287;0.514287;38.4774
48;9;11;610;PositionSINRdB;1.5;0.31;0;0.513022;0.513022;38.5258
48;9;11;611.123;PositionSINRdB;1.5;0.31;0;0.513022;0.513022;38.5258
49;9;11;611.123;PositionSINRdB;1.5;0.31;0;0.513022;0.513022;38.5258
49;9;11;612.762;PositionSINRdB;1.5;0.31;0;0.513022;0.513022;38.5258
50;9;11;612.762;PositionSINRdB;1.5;0.31;0;0.513022;0.513022;38.5258
